Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
bcv108gb;BOWL GRAND;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;1,890.00;;0.20;5.00;5.00;5.00;BCV108GB;BCV108GB;SI;NO;BCV108;;;;SI;;;;
bcf068gb;GRAND;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;6,990.00;;0.20;5.00;5.00;5.00;BCF068GB;BCF068GB;SI;NO;BCF068;;;;SI;;;;
bcf067gb;BANDEJA GRAND 20 x 17 CM;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;4,690.00;;0.20;5.00;5.00;5.00;BCF067GB;BCF067GB;SI;NO;BCF067;;;;SI;;;;
bcv114lv;PLATO DE POSTRE LOVE;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos, ClubNacion;;;;;;;9,090.00;;0.20;5.00;5.00;5.00;BCV114LV;BCV114LV;SI;NO;BCV114;;;;SI;;;;
bcv114hp;PLATO DE POSTRE HOPE;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos;;;;;;;9,090.00;;0.20;5.00;5.00;5.00;BCV114HP;BCV114HP;SI;NO;BCV114;;;;SI;;;;
bcv114jy;PLATO DE POSTRE JOY;Bazar > Comedor > Platos y Bowls, Navidad > Mesas\, bares y consolas > Mesa y complementos, ClubNacion;;;;;;;9,090.00;;0.20;5.00;5.00;5.00;BCV114JY;BCV114JY;SI;NO;BCV114;;;;SI;;;;
doc140pp;CANASTO CAMERUN SMALL;;;;;;;;7,690.00;;0.20;5.00;5.00;5.00;DOC140PP;DOC140PP;SI;NO;DOC140;;;;SI;;;;
mmc011pn;MESA COMEDOR MINI BROOKLYN - PETIRIBI - NEGRO;Muebles > Mesa de Comedor, Navidad > Mesas\, bares y consolas > Mesas de comedor;;;;;;;207,990.00;;8.00;30.00;50.00;50.00;MMC011PN;MMC011PN;SI;NO;MMC011;;;;SI;;;;
mmc011pe;MESA COMEDOR MINI BROOKLYN - PETIRIBI;Muebles > Mesa de Comedor, Navidad > Mesas\, bares y consolas > Mesas de comedor;;;;;;;207,990.00;;8.00;30.00;50.00;50.00;MMC011PE;MMC011PE;SI;NO;MMC011;;;;SI;;;;
mmc011np;MESA COMEDOR MINI BROOKLYN - NEGRO - PETIRIBI;Muebles > Mesa de Comedor, Navidad > Mesas\, bares y consolas > Mesas de comedor;;;;;;;207,990.00;;8.00;30.00;50.00;50.00;MMC011NP;MMC011NP;SI;NO;MMC011;;;;SI;;;;
